transaction_date,category_code,crop_code,crop_name,market_code,market_name,highest_price,median_price,lowest_price,average_price,transaction_volume
2024.08.25,N05,11,椰子,104,台北二,31.8,19.9,17.4,21.8,1056
2024.08.25,N05,129,椰子-剝殼進口,104,台北二,50.7,26.7,26.7,31.5,4140
2024.08.25,N05,31,釋迦,104,台北二,100.8,71.8,58.4,74.9,1161
2024.08.25,N05,50,百香果-其他,104,台北二,110,95.9,72,94,1100
2024.08.25,N05,51,百香果-改良種,104,台北二,111.4,70,43.3,73,6153
2024.08.25,N05,72,小番茄-聖女,104,台北二,150.6,102.3,47,100.9,1744
2024.08.25,N05,73,小番茄-嬌女,104,台北二,70,70,70,70,36
2024.08.25,N05,74,小番茄-玉女,104,台北二,412.2,315.9,244.4,320.9,270
2024.08.25,N05,811,紅龍果-白肉,104,台北二,90.2,43.7,27.2,49.7,6132
2024.08.25,N05,812,紅龍果-紅肉,104,台北二,92.6,53.9,34.2,57.7,11533
2024.08.25,N05,813,紅龍果-雙色紅龍果,104,台北二,119.7,83.9,77.4,89.7,114
2024.08.25,N05,839,櫻桃-進口,104,台北二,154.8,115.3,106.7,121.5,3236
2024.08.25,N05,859,榴槤-進口,104,台北二,118.5,100,100,103.7,1350
2024.08.25,N05,87,紅毛丹,104,台北二,150,147.2,145,147.4,17
2024.08.25,N05,91,其他,104,台北二,56.3,39,30.7,40.8,318
2024.08.25,N05,919,其他-進口,104,台北二,160,146.7,106.7,141.3,50
2024.08.25,N05,A0,香蕉-其他,104,台北二,15,15,15,15,20
2024.08.25,N05,A1,香蕉,104,台北二,78,55.8,47.9,58.7,4786
2024.08.25,N05,A2,香蕉-芭蕉紅芭蕉,104,台北二,73.6,42.5,26.8,45.6,1898
2024.08.25,N05,A4,香蕉-越旦,104,台北二,58,25.1,20,30.7,114
2024.08.25,N05,B2,鳳梨-金鑽鳳梨,104,台北二,52.9,39.6,22.5,38.8,5773
2024.08.25,N05,B7,鳳梨-牛奶鳳梨,104,台北二,43.4,35.9,19.1,34.1,1041
2024.08.25,N05,C9,柑橘-進口,104,台北二,385.9,70.6,51.8,129.9,710
2024.08.25,N05,E9,甜橙-進口,104,台北二,83.4,32,30,41.9,2900
2024.08.25,N05,F0,雜柑-其他,104,台北二,20,20,20,20,17
2024.08.25,N05,F1,雜柑-檸檬,104,台北二,35.9,23,13.3,23.6,954
2024.08.25,N05,F4,雜柑-桔子,104,台北二,65.2,48.6,29.4,48.1,319
2024.08.25,N05,F5,雜柑-無子檸檬,104,台北二,46.5,24.1,14.4,26.6,2515
2024.08.25,N05,F6,雜柑-黃金檸檬,104,台北二,22.3,17.5,10.8,17.1,869
2024.08.25,N04,FA1,黃秋葵,104,台北二,88.9,51.7,32.1,55.2,2484
2024.08.25,N04,FB1,花椰菜-青梗,104,台北二,200,182.3,175,184.4,94
2024.08.25,N04,FC1,胡瓜-黑刺,104,台北二,47.6,30.5,13.8,30.6,5918
2024.08.25,N04,FD0,花胡瓜-其他,104,台北二,139.9,96.2,62.1,98.1,559
2024.08.25,N04,FD1,花胡瓜,104,台北二,82.2,64,36.2,62.1,14146
2024.08.25,N04,FE0,冬瓜-其他,104,台北二,48,47.1,46,47,38
2024.08.25,N04,FE1,冬瓜-白皮,104,台北二,30.1,25.7,19.6,25.4,4767
2024.08.25,N04,FF0,絲瓜-其他,104,台北二,30.8,26.4,20.2,26,1849
2024.08.25,N04,FF1,絲瓜,104,台北二,43.6,28.6,14.8,28.8,13809
2024.08.25,N04,FF2,絲瓜-角瓜,104,台北二,72,59.2,35,56.9,81
2024.08.25,N04,FF4,絲瓜-長絲瓜,104,台北二,30,29.5,26.3,29,170
2024.08.25,N04,FG0,苦瓜-其他,104,台北二,82.7,56.8,44.1,59.4,1469
2024.08.25,N04,FG1,苦瓜-白大米,104,台北二,132.1,84.4,43.2,85.7,2759
2024.08.25,N04,FG2,苦瓜-青大米,104,台北二,45,40,35,40,30
2024.08.25,N04,FG3,苦瓜-山苦瓜,104,台北二,105,105,105,105,14
2024.08.25,N04,FG4,苦瓜-翠綠,104,台北二,80,63.1,53.2,64.5,268
2024.08.25,N04,FH2,扁蒲-圓形,104,台北二,27,27,27,27,40
2024.08.25,N04,FH3,扁蒲-花蒲,104,台北二,44.5,28.4,14.8,28.9,1720
2024.08.25,N04,FH4,扁蒲-梨子蒲,104,台北二,45.3,30.8,16.4,30.8,1399
2024.08.25,N04,FI0,茄子-其他,104,台北二,70,67.2,60,66.3,27
2024.08.25,N04,FI2,茄子-麻荸茄,104,台北二,158.1,109.7,79.3,2024.3,1657
2024.08.25,N04,FI3,茄子-日本種,104,台北二,175,147.2,50,133.3,54
2024.08.25,N04,FJ1,番茄-黑柿,104,台北二,80,80,69.9,78,52
2024.08.25,N04,FJ3,番茄-牛番茄,104,台北二,99.6,77.8,35.4,73.7,12847
2024.08.25,N04,FK0,甜椒-其他,104,台北二,50,50,50,50,9
2024.08.25,N04,FK4,甜椒-彩色種,104,台北二,74.9,51.8,20.8,50.2,1980
2024.08.25,N04,FK5,甜椒-青椒,104,台北二,94.7,63.7,47.9,66.8,1763
2024.08.25,N04,FK6,甜椒-水果彩椒,104,台北二,187.5,86.2,45.3,98.3,388
2024.08.25,N04,FK9,甜椒-進口,104,台北二,36.7,32.8,23.3,31.7,1020
2024.08.25,N04,FL9,豌豆-進口,104,台北二,178.7,175,175,175.8,456
2024.08.25,N04,FM2,菜豆-青色,104,台北二,84.2,61.3,37.7,61.2,1665
2024.08.25,N04,FN1,敏豆-白豆,104,台北二,316.3,191.4,64.5,191,1400
2024.08.25,N04,FN4,敏豆-翼豆,104,台北二,150,122.5,95,122.5,14
2024.08.25,N04,FN5,敏豆-醜豆,104,台北二,170,164.9,140,160.9,43
2024.08.25,N04,FQ2,毛豆-豆仁,104,台北二,210,210,210,210,12
2024.08.25,N04,FR9,青花苔-進口,104,台北二,98.6,83.4,65.5,82.9,7156
2024.08.25,N04,FS1,越瓜-青色,104,台北二,10,8.4,4,7.8,55
2024.08.25,N04,FS2,越瓜-白色,104,台北二,40,40,40,40,20
