transaction_date,category_code,crop_code,crop_name,market_code,market_name,highest_price,median_price,lowest_price,average_price,transaction_volume
2024.09.10,N05,11,椰子,104,台北二,34.9,27.6,23,28.1,1192
2024.09.10,N05,12,椰子-剝殼,104,台北二,30,30,30,30,90
2024.09.10,N05,31,釋迦,104,台北二,98.2,80.9,64.2,81,1860
2024.09.10,N05,459,草莓-進口,104,台北二,222.2,222.2,222.2,222.2,135
2024.09.10,N05,469,藍莓-進口,104,台北二,66.7,66.7,66.7,66.7,100
2024.09.10,N05,50,百香果-其他,104,台北二,160,134.2,2024.2,135.2,774
2024.09.10,N05,51,百香果-改良種,104,台北二,175,126.5,78.6,126.6,2717
2024.09.10,N05,72,小番茄-聖女,104,台北二,167.6,154.2,118.3,149.7,1572
2024.09.10,N05,74,小番茄-玉女,104,台北二,370.9,317.9,186.2,302.2,348
2024.09.10,N05,811,紅龍果-白肉,104,台北二,97.9,63.2,44.9,66.5,5650
2024.09.10,N05,812,紅龍果-紅肉,104,台北二,107.3,80.6,51.6,80.2,9097
2024.09.10,N05,813,紅龍果-雙色紅龍果,104,台北二,234.3,197.3,150.7,195.4,168
2024.09.10,N05,91,其他,104,台北二,260,42.1,36.6,84.5,133
2024.09.10,N05,919,其他-進口,104,台北二,226.7,226.7,226.7,226.7,10
2024.09.10,N05,A0,香蕉-其他,104,台北二,18,18,18,18,7
2024.09.10,N05,A1,香蕉,104,台北二,64.6,48,34,48.5,7785
2024.09.10,N05,A2,香蕉-芭蕉紅芭蕉,104,台北二,67.4,44.5,27.6,45.7,2304
2024.09.10,N05,A4,香蕉-越旦,104,台北二,39.4,28.5,21.4,29.3,622
2024.09.10,N05,B0,鳳梨-其他,104,台北二,55,51.5,50,51.9,433
2024.09.10,N05,B2,鳳梨-金鑽鳳梨,104,台北二,71.8,55.2,34,54.3,2864
2024.09.10,N05,B7,鳳梨-牛奶鳳梨,104,台北二,48.1,38.8,28.6,38.6,1021
2024.09.10,N05,B8,鳳梨-西瓜鳳梨,104,台北二,37,37,37,37,74
2024.09.10,N05,C9,柑橘-進口,104,台北二,136.4,76.2,51.9,83.4,2827
2024.09.10,N05,E1,甜橙-柳橙,104,台北二,25,23.2,16,22.1,180
2024.09.10,N05,E9,甜橙-進口,104,台北二,33.3,33.3,33.3,33.3,1260
2024.09.10,N05,F1,雜柑-檸檬,104,台北二,33.6,26.2,11.2,24.7,1103
2024.09.10,N05,F4,雜柑-桔子,104,台北二,73.3,46.6,30,48.6,267
2024.09.10,N05,F5,雜柑-無子檸檬,104,台北二,45,27.6,17.8,29.1,2783
2024.09.10,N05,F6,雜柑-黃金檸檬,104,台北二,29.9,21.4,9.4,20.7,305
2024.09.10,N04,FA0,其他花類,104,台北二,110,110,110,110,5
2024.09.10,N04,FA1,黃秋葵,104,台北二,120.1,71.8,27.2,72.6,1930
2024.09.10,N04,FB1,花椰菜-青梗,104,台北二,90,66.9,20.3,62.2,409
2024.09.10,N04,FB9,花椰菜-進口,104,台北二,120,120,120,120,100
2024.09.10,N04,FC1,胡瓜-黑刺,104,台北二,45.1,25.9,11.6,26.9,9160
2024.09.10,N04,FD0,花胡瓜-其他,104,台北二,118.9,69.2,19.3,69.1,880
2024.09.10,N04,FD1,花胡瓜,104,台北二,61.9,41.8,15.9,40.6,19789
2024.09.10,N04,FE0,冬瓜-其他,104,台北二,32,22.9,12.2,22.6,328
2024.09.10,N04,FE1,冬瓜-白皮,104,台北二,29.2,20,13.5,20.5,4054
2024.09.10,N04,FF0,絲瓜-其他,104,台北二,29.7,20.1,15.4,21.1,2580
2024.09.10,N04,FF1,絲瓜,104,台北二,32.8,21.3,13.3,22,25465
2024.09.10,N04,FF2,絲瓜-角瓜,104,台北二,35,33.6,21.6,31.5,197
2024.09.10,N04,FF4,絲瓜-長絲瓜,104,台北二,33.6,24.9,16.6,25,183
2024.09.10,N04,FG0,苦瓜-其他,104,台北二,61.1,50.8,32,49.1,1728
2024.09.10,N04,FG1,苦瓜-白大米,104,台北二,87.9,55.3,35.2,57.8,4589
2024.09.10,N04,FG2,苦瓜-青大米,104,台北二,40,35,30,35,240
2024.09.10,N04,FG3,苦瓜-山苦瓜,104,台北二,130,109,88,109,28
2024.09.10,N04,FG4,苦瓜-翠綠,104,台北二,53,40.2,31,40.9,704
2024.09.10,N04,FH3,扁蒲-花蒲,104,台北二,28.2,21.8,13.9,21.5,2957
2024.09.10,N04,FH4,扁蒲-梨子蒲,104,台北二,34.4,26.1,15.5,25.7,4436
2024.09.10,N04,FI0,茄子-其他,104,台北二,130,101.6,20,91,62
2024.09.10,N04,FI2,茄子-麻荸茄,104,台北二,43.4,24,10.3,25.2,9727
2024.09.10,N04,FI3,茄子-日本種,104,台北二,13.3,10,10,10.7,122
2024.09.10,N04,FJ3,番茄-牛番茄,104,台北二,108.8,75.9,35.1,74.3,11018
2024.09.10,N04,FK4,甜椒-彩色種,104,台北二,139.4,72,32.7,77.6,1597
2024.09.10,N04,FK5,甜椒-青椒,104,台北二,102.5,80.5,46.1,78,3312
2024.09.10,N04,FK6,甜椒-水果彩椒,104,台北二,175.5,122.8,51.9,119.1,392
2024.09.10,N04,FK9,甜椒-進口,104,台北二,107.9,46.2,25,54.3,850
2024.09.10,N04,FL9,豌豆-進口,104,台北二,190,183.4,170,182,452
2024.09.10,N04,FM2,菜豆-青色,104,台北二,101.7,69.8,36.1,69.4,1822
2024.09.10,N04,FN1,敏豆-白豆,104,台北二,226.1,120.6,37.5,125.1,1403
2024.09.10,N04,FN4,敏豆-翼豆,104,台北二,138.6,120,106.6,121.1,52
2024.09.10,N04,FN5,敏豆-醜豆,104,台北二,144,92,19.4,87.9,462
2024.09.10,N04,FQ1,毛豆-豆莢,104,台北二,120,120,120,120,36
2024.09.10,N04,FQ2,毛豆-豆仁,104,台北二,350,294.1,210,288.5,39
2024.09.10,N04,FR9,青花苔-進口,104,台北二,116.3,89.2,64.3,89.6,6057
