transaction_date,category_code,crop_code,crop_name,market_code,market_name,highest_price,median_price,lowest_price,average_price,transaction_volume
2024.09.15,N05,11,椰子,104,台北二,24.7,19.1,16.8,19.8,1061
2024.09.15,N05,129,椰子-剝殼進口,104,台北二,33.3,33.3,33.3,33.3,2600
2024.09.15,N05,31,釋迦,104,台北二,126,96.4,73.2,97.7,877
2024.09.15,N05,469,藍莓-進口,104,台北二,266.7,266.7,266.7,266.7,120
2024.09.15,N05,50,百香果-其他,104,台北二,164.6,135.9,118.8,138.2,1152
2024.09.15,N05,51,百香果-改良種,104,台北二,185.9,111,54.7,114.7,2029
2024.09.15,N05,70,小番茄-其他,104,台北二,155,155,155,155,12
2024.09.15,N05,72,小番茄-聖女,104,台北二,261.1,228.8,177.3,225,768
2024.09.15,N05,74,小番茄-玉女,104,台北二,470,370,216,359.2,150
2024.09.15,N05,811,紅龍果-白肉,104,台北二,95.6,37.7,27.1,47.2,4988
2024.09.15,N05,812,紅龍果-紅肉,104,台北二,92.3,53.4,29.2,56.4,13292
2024.09.15,N05,813,紅龍果-雙色紅龍果,104,台北二,206.5,118.8,75.2,127.6,263
2024.09.15,N05,91,其他,104,台北二,279.7,33.6,30.4,82.2,166
2024.09.15,N05,919,其他-進口,104,台北二,36.5,20,20,23.3,515
2024.09.15,N05,A1,香蕉,104,台北二,54.1,37.6,25.9,38.6,7530
2024.09.15,N05,A2,香蕉-芭蕉紅芭蕉,104,台北二,71.6,39.9,28.3,43.9,2050
2024.09.15,N05,A3,香蕉-旦蕉,104,台北二,40,40,40,40,4
2024.09.15,N05,A4,香蕉-越旦,104,台北二,37.6,34.8,26.4,33.7,238
2024.09.15,N05,B0,鳳梨-其他,104,台北二,45.7,30.8,21.1,31.9,1044
2024.09.15,N05,B2,鳳梨-金鑽鳳梨,104,台北二,53,36.6,21.7,36.9,4386
2024.09.15,N05,B7,鳳梨-牛奶鳳梨,104,台北二,30.7,26,14.5,24.7,202
2024.09.15,N05,B8,鳳梨-西瓜鳳梨,104,台北二,31.5,26.9,25,27.4,710
2024.09.15,N05,C9,柑橘-進口,104,台北二,225.9,44.4,44.4,80.7,507
2024.09.15,N05,E9,甜橙-進口,104,台北二,150.3,33.3,33.3,56.7,1470
2024.09.15,N05,F1,雜柑-檸檬,104,台北二,36.8,25.7,15.7,25.9,785
2024.09.15,N05,F4,雜柑-桔子,104,台北二,110.2,69.4,33.3,70.4,149
2024.09.15,N05,F5,雜柑-無子檸檬,104,台北二,42.9,24.9,12.3,26,2138
2024.09.15,N05,F6,雜柑-黃金檸檬,104,台北二,28.6,21.8,15.5,21.9,493
2024.09.15,N04,FA1,黃秋葵,104,台北二,127.2,82.5,32.5,81.4,1303
2024.09.15,N04,FB1,花椰菜-青梗,104,台北二,139.8,93,46.2,93,542
2024.09.15,N04,FB9,花椰菜-進口,104,台北二,120,120,120,120,130
2024.09.15,N04,FC1,胡瓜-黑刺,104,台北二,45.9,22.2,9,24.3,7140
2024.09.15,N04,FD0,花胡瓜-其他,104,台北二,164,91.9,50,98,356
2024.09.15,N04,FD1,花胡瓜,104,台北二,72.6,54,34.9,53.9,12113
2024.09.15,N04,FE0,冬瓜-其他,104,台北二,25,14.4,10,15.6,107
2024.09.15,N04,FE1,冬瓜-白皮,104,台北二,20.1,13.8,10,14.3,3057
2024.09.15,N04,FF0,絲瓜-其他,104,台北二,33.4,24.3,13.1,23.9,1551
2024.09.15,N04,FF1,絲瓜,104,台北二,47.2,30,18.2,31.1,10467
2024.09.15,N04,FF2,絲瓜-角瓜,104,台北二,40,36.4,27.7,35.4,224
2024.09.15,N04,FF4,絲瓜-長絲瓜,104,台北二,24.6,19.2,15,19.4,146
2024.09.15,N04,FG0,苦瓜-其他,104,台北二,69.5,58.6,31.7,55.4,1092
2024.09.15,N04,FG1,苦瓜-白大米,104,台北二,98.1,60.5,36,63.1,2966
2024.09.15,N04,FG3,苦瓜-山苦瓜,104,台北二,80,80,80,80,14
2024.09.15,N04,FG4,苦瓜-翠綠,104,台北二,53.7,43.1,33.1,43.2,513
2024.09.15,N04,FH1,扁蒲-長形,104,台北二,16,14.5,13,14.5,20
2024.09.15,N04,FH3,扁蒲-花蒲,104,台北二,32.3,22.8,16.8,23.5,1685
2024.09.15,N04,FH4,扁蒲-梨子蒲,104,台北二,32.6,26.3,16.5,25.6,2345
2024.09.15,N04,FI0,茄子-其他,104,台北二,50,26.7,10,28,101
2024.09.15,N04,FI2,茄子-麻荸茄,104,台北二,32.4,13.9,7,16.2,8919
2024.09.15,N04,FI3,茄子-日本種,104,台北二,30.5,16.6,10,18.1,57
2024.09.15,N04,FJ3,番茄-牛番茄,104,台北二,101.5,75.2,40,73.4,11775
2024.09.15,N04,FK4,甜椒-彩色種,104,台北二,151.1,92.1,47.3,95,1194
2024.09.15,N04,FK5,甜椒-青椒,104,台北二,103.6,83.8,37.7,78.5,3309
2024.09.15,N04,FK6,甜椒-水果彩椒,104,台北二,193.7,114.1,62.5,119.7,578
2024.09.15,N04,FK9,甜椒-進口,104,台北二,95.9,62.7,40.1,64.8,580
2024.09.15,N04,FL9,豌豆-進口,104,台北二,189.5,173.8,170,176.2,420
2024.09.15,N04,FM2,菜豆-青色,104,台北二,95.9,65.7,32.6,65.1,1138
2024.09.15,N04,FN1,敏豆-白豆,104,台北二,266.5,165.8,65.8,166,1410
2024.09.15,N04,FN4,敏豆-翼豆,104,台北二,120,118.2,110,116.9,26
2024.09.15,N04,FN5,敏豆-醜豆,104,台北二,137.9,96.4,38.6,93.2,171
2024.09.15,N04,FQ1,毛豆-豆莢,104,台北二,120,120,120,120,36
2024.09.15,N04,FQ2,毛豆-豆仁,104,台北二,290,272.2,210,263.3,54
2024.09.15,N04,FR9,青花苔-進口,104,台北二,119.8,109.4,66.8,103,4587
2024.09.15,N04,FS1,越瓜-青色,104,台北二,10,5.6,5,6.3,420
2024.09.15,N04,FS2,越瓜-白色,104,台北二,40,40,40,40,20
2024.09.15,N04,FT0,南瓜-其他,104,台北二,35,34.2,30,33.5,34
2024.09.15,N04,FT1,南瓜-木瓜形,104,台北二,44.1,26.4,18.7,28.4,3788
2024.09.15,N04,FT2,南瓜-圓形,104,台北二,33.9,28.1,18.8,27.4,877
2024.09.15,N04,FT3,南瓜-黃如意,104,台北二,118.3,100,98.2,103.3,82
2024.09.15,N04,FT5,南瓜-青如意,104,台北二,135.4,109.7,59.4,104.8,2697
2024.09.15,N04,FT9,南瓜-進口,104,台北二,39,32.8,11.9,29.8,3017
2024.09.15,N04,FU1,隼人瓜,104,台北二,18.3,12.4,8.9,12.9,2643
2024.09.15,N04,FU2,隼人瓜-瓜苗,104,台北二,177.4,147.5,120.7,148.2,324
2024.09.15,N04,FU3,石蓮花,104,台北二,95,95,95,95,6
2024.09.15,N04,FV0,辣椒-其他,104,台北二,40,40,40,40,18
2024.09.15,N04,FV1,辣椒-紅小,104,台北二,168.7,141.6,102.8,139.3,320
2024.09.15,N04,FV2,辣椒-青小,104,台北二,67.9,34.6,20,38.4,86
2024.09.15,N04,FV3,辣椒-雞心,104,台北二,200,200,200,200,2
2024.09.15,N04,FV4,辣椒-朝天椒,104,台北二,285,192.3,118.8,196.2,705
2024.09.15,N04,FV6,辣椒-糯米椒,104,台北二,200,122.8,47.5,123.2,200
2024.09.15,N04,FV9,辣椒-進口,104,台北二,170,161.8,152.1,161.5,238
2024.09.15,N04,FW2,洛神花,104,台北二,20,20,20,20,11
2024.09.15,N04,FY0,玉米-其他,104,台北二,22,22,22,22,20
2024.09.15,N04,FY1,玉米-白玉米,104,台北二,58,47.8,40,48.3,74
2024.09.15,N04,FY4,玉米-玉米筍,104,台北二,49,36.7,24.6,36.8,6489
2024.09.15,N04,FY5,玉米-糯米黑,104,台北二,51.9,34.8,17.7,34.8,3481
2024.09.15,N04,FY6,玉米-甜軟殼,104,台北二,81,55.9,23.5,54.4,5836
2024.09.15,N04,FY8,玉米-白龍王,104,台北二,44,39.1,26,37.4,500
2024.09.15,N04,FY9,玉米-進口,104,台北二,219,55.9,17.1,80.8,1364
2024.09.15,N04,FZ2,落花生-熟,104,台北二,100,100,100,100,66
2024.09.15,N05,G2,黃金果,104,台北二,176.2,125.9,63.2,123.4,85
2024.09.15,N05,G3,酪梨,104,台北二,80.5,62.4,52,63.9,8213
2024.09.15,N05,G49,奇異果-進口,104,台北二,116.9,94.8,44.3,89.1,3423
2024.09.15,N05,G7,橄欖,104,台北二,30.3,20.5,15,21.4,160
2024.09.15,N05,H1,柚子-文旦,104,台北二,32.2,12.4,8.8,15.6,14186
2024.09.15,N05,H3,柚子-紅柚,104,台北二,41.3,17.6,8.6,20.5,837
2024.09.15,N05,H49,葡萄柚-紅肉進口,104,台北二,90,82.9,80,83.8,80
2024.09.15,N05,H5,葡萄柚-白肉,104,台北二,24,22.3,11.6,20.5,710
2024.09.15,N05,I1,木瓜-網室紅肉,104,台北二,90.3,68.7,48.6,69,6263
2024.09.15,N05,I3,木瓜-日昇種,104,台北二,142.5,103.3,57,101.9,954
2024.09.15,N05,I4,木瓜-青木瓜,104,台北二,29.9,24,15.6,23.5,530
2024.09.15,N05,K0,龍眼-其他,104,台北二,45,41.8,40,42.1,17
2024.09.15,N05,K2,龍眼-十月眼,104,台北二,154.5,100.8,54.8,102.3,2607
2024.09.15,N05,K3,龍眼-粉殼,104,台北二,135,82.4,50,86.4,42
2024.09.15,N05,K4,龍眼-龍眼乾帶殼,104,台北二,90,90,90,90,30
2024.09.15,N04,LA1,甘藍-初秋,104,台北二,58.4,35.7,25.2,38.1,20640
