transaction_date,category_code,crop_code,crop_name,market_code,market_name,highest_price,median_price,lowest_price,average_price,transaction_volume
2024.08.29,N05,11,椰子,104,台北二,34.3,21.6,17.4,23.3,1162
2024.08.29,N05,129,椰子-剝殼進口,104,台北二,58.1,46.9,40,47.8,1640
2024.08.29,N05,31,釋迦,104,台北二,101.2,68.7,50.3,71.5,1550
2024.08.29,N05,459,草莓-進口,104,台北二,222.2,222.2,222.2,222.2,90
2024.08.29,N05,469,藍莓-進口,104,台北二,266.7,266.7,254.8,264.3,210
2024.08.29,N05,50,百香果-其他,104,台北二,110,101.9,64.7,96,786
2024.08.29,N05,51,百香果-改良種,104,台北二,127.5,81.1,48.6,83.9,3580
2024.08.29,N05,72,小番茄-聖女,104,台北二,117.1,97.6,71.7,96.3,1848
2024.08.29,N05,74,小番茄-玉女,104,台北二,400.3,268,218.1,284.4,216
2024.08.29,N05,811,紅龍果-白肉,104,台北二,79.9,42.1,28.6,47,4786
2024.08.29,N05,812,紅龍果-紅肉,104,台北二,94.2,53.3,33.2,57.5,7795
2024.08.29,N05,813,紅龍果-雙色紅龍果,104,台北二,220.7,106.5,39.1,115.8,189
2024.08.29,N05,839,櫻桃-進口,104,台北二,240,240,240,240,10
2024.08.29,N05,859,榴槤-進口,104,台北二,133.3,113,111.1,116.7,800
2024.08.29,N05,87,紅毛丹,104,台北二,80,80,80,80,4
2024.08.29,N05,91,其他,104,台北二,82.1,39.2,20.7,44.1,178
2024.08.29,N05,919,其他-進口,104,台北二,184.3,115.2,106.7,127.3,55
2024.08.29,N05,A1,香蕉,104,台北二,72,55.3,43.4,56.3,3270
2024.08.29,N05,A2,香蕉-芭蕉紅芭蕉,104,台北二,65.8,43.8,26.4,44.7,2012
2024.08.29,N05,A4,香蕉-越旦,104,台北二,57.1,49.1,25,45.9,134
2024.08.29,N05,B2,鳳梨-金鑽鳳梨,104,台北二,61.3,46.5,25.5,45.2,2063
2024.08.29,N05,B7,鳳梨-牛奶鳳梨,104,台北二,41.3,36.8,22.9,34.9,1426
2024.08.29,N05,B8,鳳梨-西瓜鳳梨,104,台北二,32,32,32,32,19
2024.08.29,N05,C9,柑橘-進口,104,台北二,206,63.7,60,91.4,2225
2024.08.29,N05,E9,甜橙-進口,104,台北二,42.6,33.8,26.1,34,9430
2024.08.29,N05,F1,雜柑-檸檬,104,台北二,33.5,22,14.8,22.8,445
2024.08.29,N05,F4,雜柑-桔子,104,台北二,69.2,49.4,37.5,51,273
2024.08.29,N05,F5,雜柑-無子檸檬,104,台北二,37.7,24.6,15.9,25.4,1912
2024.08.29,N05,F6,雜柑-黃金檸檬,104,台北二,24,19,11.1,18.4,506
2024.08.29,N04,FA1,黃秋葵,104,台北二,80.4,48.4,22.3,49.6,1123
2024.08.29,N04,FA2,樊花,104,台北二,10,10,10,10,59
2024.08.29,N04,FB1,花椰菜-青梗,104,台北二,190,190,190,190,18
2024.08.29,N04,FC1,胡瓜-黑刺,104,台北二,44,26.8,13.1,27.5,6545
2024.08.29,N04,FD0,花胡瓜-其他,104,台北二,122.5,70.9,55.1,78,360
