transaction_date,category_code,crop_code,crop_name,market_code,market_name,highest_price,median_price,lowest_price,average_price,transaction_volume
2024.08.23,N05,11,椰子,104,台北二,36.9,23.6,18.8,25.3,1267
2024.08.23,N05,129,椰子-剝殼進口,104,台北二,90,90,90,90,100
2024.08.23,N05,31,釋迦,104,台北二,80.9,62.2,46.2,62.8,2905
2024.08.23,N05,32,釋迦-鳳梨釋迦,104,台北二,51,41.6,25,40.2,12
2024.08.23,N05,459,草莓-進口,104,台北二,222.2,222.2,222.2,222.2,60
2024.08.23,N05,469,藍莓-進口,104,台北二,74.6,64.2,37.3,60.9,110
2024.08.23,N05,50,百香果-其他,104,台北二,115,94,41.3,87.6,1136
2024.08.23,N05,51,百香果-改良種,104,台北二,103,70.2,50.4,72.8,4653
2024.08.23,N05,72,小番茄-聖女,104,台北二,130.2,107.1,77.3,105.8,1566
2024.08.23,N05,74,小番茄-玉女,104,台北二,396,300,176.9,294.6,288
2024.08.23,N05,811,紅龍果-白肉,104,台北二,109.6,53.9,26.6,59.6,3980
2024.08.23,N05,812,紅龍果-紅肉,104,台北二,120.4,64.6,33.3,69.5,10034
2024.08.23,N05,813,紅龍果-雙色紅龍果,104,台北二,148.3,82.5,44.5,88.1,361
2024.08.23,N05,839,櫻桃-進口,104,台北二,133.3,127.8,106.7,124.7,616
2024.08.23,N05,859,榴槤-進口,104,台北二,140,133.8,120,132.3,1820
2024.08.23,N05,87,紅毛丹,104,台北二,149.9,123.1,110,125.9,169
2024.08.23,N05,91,其他,104,台北二,41.3,33,29,33.9,470
2024.08.23,N05,919,其他-進口,104,台北二,33.3,33.3,33.3,33.3,440
2024.08.23,N05,A0,香蕉-其他,104,台北二,10,10,10,10,25
2024.08.23,N05,A1,香蕉,104,台北二,71.8,56,50.3,58,3917
2024.08.23,N05,A2,香蕉-芭蕉紅芭蕉,104,台北二,65,46.8,33.5,47.8,1697
2024.08.23,N05,A4,香蕉-越旦,104,台北二,40,34.4,18.8,32.4,151
2024.08.23,N05,B2,鳳梨-金鑽鳳梨,104,台北二,58.2,48.9,32.2,47.4,2994
2024.08.23,N05,B7,鳳梨-牛奶鳳梨,104,台北二,43,36.3,26.2,35.6,2207
2024.08.23,N05,B8,鳳梨-西瓜鳳梨,104,台北二,15,12.5,12,12.9,432
2024.08.23,N05,C9,柑橘-進口,104,台北二,264.7,72.9,66.7,110,1002
2024.08.23,N05,E9,甜橙-進口,104,台北二,90.3,35.7,22.2,43.9,1800
2024.08.23,N05,F1,雜柑-檸檬,104,台北二,48,26.5,12.3,28,827
2024.08.23,N05,F4,雜柑-桔子,104,台北二,74.4,55.4,39.1,55.9,240
2024.08.23,N05,F5,雜柑-無子檸檬,104,台北二,40.9,24.2,12.8,25.3,3332
2024.08.23,N05,F6,雜柑-黃金檸檬,104,台北二,32.5,27.5,24.2,27.9,119
2024.08.23,N05,F9,雜柑-進口,104,台北二,66.7,66.7,66.7,66.7,400
2024.08.23,N04,FA0,其他花類,104,台北二,110,110,110,110,15
2024.08.23,N04,FA1,黃秋葵,104,台北二,93.2,54,27.3,56.5,2253
2024.08.23,N04,FB1,花椰菜-青梗,104,台北二,65,65,65,65,20
2024.08.23,N04,FC1,胡瓜-黑刺,104,台北二,48.9,32,14.8,32,6054
2024.08.23,N04,FD0,花胡瓜-其他,104,台北二,166.1,116,52.1,2024.2,248
2024.08.23,N04,FD1,花胡瓜,104,台北二,88.4,67.4,42.4,66.6,10771
2024.08.23,N04,FE0,冬瓜-其他,104,台北二,28,28,28,28,11
2024.08.23,N04,FE1,冬瓜-白皮,104,台北二,27.9,20.2,12.8,20.3,2118
2024.08.23,N04,FF0,絲瓜-其他,104,台北二,31.1,25.6,19.8,25.6,1675
2024.08.23,N04,FF1,絲瓜,104,台北二,36.4,25.1,16.6,25.6,13586
2024.08.23,N04,FF2,絲瓜-角瓜,104,台北二,42.5,40,20.1,36.5,201
2024.08.23,N04,FF4,絲瓜-長絲瓜,104,台北二,25,20.4,20,21.2,89
2024.08.23,N04,FG0,苦瓜-其他,104,台北二,96,81.4,60,80,802
2024.08.23,N04,FG1,苦瓜-白大米,104,台北二,159.1,99,50.8,101.4,1511
2024.08.23,N04,FG2,苦瓜-青大米,104,台北二,50,42.5,35,42.5,90
2024.08.23,N04,FG4,苦瓜-翠綠,104,台北二,94.2,71.6,58.5,73.5,285
2024.08.23,N04,FH3,扁蒲-花蒲,104,台北二,36.3,22.2,12.9,23.2,2539
2024.08.23,N04,FH4,扁蒲-梨子蒲,104,台北二,45.1,27.2,15.1,28.4,1496
2024.08.23,N04,FI2,茄子-麻荸茄,104,台北二,155.9,126.6,95.8,126.3,1101
2024.08.23,N04,FI3,茄子-日本種,104,台北二,80,80,80,80,14
2024.08.23,N04,FJ1,番茄-黑柿,104,台北二,110,110,110,110,11
2024.08.23,N04,FJ3,番茄-牛番茄,104,台北二,102,63.4,33.8,65.2,10560
2024.08.23,N04,FK4,甜椒-彩色種,104,台北二,71.8,50.3,26.6,49.8,2800
2024.08.23,N04,FK5,甜椒-青椒,104,台北二,76.5,54.8,34.9,55.1,3210
2024.08.23,N04,FK6,甜椒-水果彩椒,104,台北二,158.2,82.1,41.7,89.2,457
2024.08.23,N04,FK9,甜椒-進口,104,台北二,38,31.9,26.6,32.1,1135
2024.08.23,N04,FL9,豌豆-進口,104,台北二,180,170.6,46.2,147.6,312
2024.08.23,N04,FM2,菜豆-青色,104,台北二,80.9,58.4,31.8,57.6,1283
2024.08.23,N04,FN1,敏豆-白豆,104,台北二,319.3,251.4,139.9,242.6,390
2024.08.23,N04,FN4,敏豆-翼豆,104,台北二,160,155,150,155,14
2024.08.23,N04,FN5,敏豆-醜豆,104,台北二,171.3,137.7,100,136.8,62
2024.08.23,N04,FQ2,毛豆-豆仁,104,台北二,210,210,210,210,6
2024.08.23,N04,FR9,青花苔-進口,104,台北二,94,74.7,58.7,75.4,7856
2024.08.23,N04,FS1,越瓜-青色,104,台北二,20,8.8,7,10.7,120
2024.08.23,N04,FS2,越瓜-白色,104,台北二,40,40,40,40,20
2024.08.23,N04,FT0,南瓜-其他,104,台北二,50,50,50,50,48
2024.08.23,N04,FT1,南瓜-木瓜形,104,台北二,60.1,40.5,32.4,42.8,2615
2024.08.23,N04,FT2,南瓜-圓形,104,台北二,71,64.4,40.8,61,99
2024.08.23,N04,FT5,南瓜-青如意,104,台北二,136,102.5,29.8,94.7,1422
2024.08.23,N04,FT9,南瓜-進口,104,台北二,53.7,37.3,25.8,38.3,1502
2024.08.23,N04,FU1,隼人瓜,104,台北二,33.1,26.7,18.4,26.3,1588
2024.08.23,N04,FU2,隼人瓜-瓜苗,104,台北二,123.9,97.6,79.2,99.2,882
2024.08.23,N04,FV0,辣椒-其他,104,台北二,50,50,50,50,8
