transaction_date,category_code,crop_code,crop_name,market_code,market_name,highest_price,median_price,lowest_price,average_price,transaction_volume
2024.09.18,N06,FB000,火鶴花,400,台中市場,21,11,9,12.6,347
2024.09.18,N06,FB100,火鶴花-紅色,400,台中市場,19,12,9,12.7,101
2024.09.18,N06,FB103,火鶴花-紅青心,400,台中市場,18,18,18,18,45
2024.09.18,N06,FB106,火鶴花-丘比特,400,台中市場,15,9,5,9.4,780
2024.09.18,N06,FB111,火鶴花-月光,400,台中市場,15,13,8,12.3,260
2024.09.18,N06,FB113,火鶴花-紅鈴,400,台中市場,21,10,6,11.7,175
2024.09.18,N06,FB114,火鶴花-紅星,400,台中市場,19,15,9,14.8,345
2024.09.18,N06,FB400,火鶴花-粉色,400,台中市場,19,16,13,16.1,401
2024.09.18,N06,FB407,火鶴花-夢幻,400,台中市場,11,10,10,10.5,94
2024.09.18,N06,FB415,火鶴花-羅莎,400,台中市場,26,20,9,18.6,354
2024.09.18,N06,FB419,火鶴花-太極,400,台中市場,24,23,19,22.5,247
2024.09.18,N06,FB500,火鶴花-翠綠,400,台中市場,13,13,13,13,48
2024.09.18,N06,FB607,火鶴花-月亮女神,400,台中市場,16,16,15,15.7,114
2024.09.18,N06,FB700,火鶴花-紫色,400,台中市場,16,16,16,16,50
2024.09.18,N06,FC316,大菊-黃精競,400,台中市場,105,105,105,105,30
2024.09.18,N06,FC613,大菊-白天星,400,台中市場,98,81,70,82.1,155
2024.09.18,N06,FC804,染大菊-白天星,400,台中市場,233,168,120,171.6,539
2024.09.18,N06,FD000,小菊,400,台中市場,90,90,90,90,23
2024.09.18,N06,FD001,小菊-混合色,400,台中市場,105,105,105,105,15
2024.09.18,N06,FD138,小菊-卡洛琳,400,台中市場,120,120,120,120,34
2024.09.18,N06,FD200,小菊-金,400,台中市場,128,84,41,84.5,206
2024.09.18,N06,FD300,小菊-黃,400,台中市場,96,91,90,91.8,147
2024.09.18,N06,FD422,小菊-吉祥小粉,400,台中市場,133,133,133,133,60
2024.09.18,N06,FD423,小菊-粉日記,400,台中市場,110,98,93,99.6,70
2024.09.18,N06,FD456,小菊-卡洛粉,400,台中市場,152,150,148,150,53
2024.09.18,N06,FD600,小菊-白,400,台中市場,110,110,110,110,30
2024.09.18,N06,FD645,小菊-白斯不列,400,台中市場,140,135,129,134.6,107
2024.09.18,N06,FD801,染小菊-芬蘭,400,台中市場,156,145,133,144.7,204
2024.09.18,N06,FE000,非洲菊,400,台中市場,172,172,172,172,15
2024.09.18,N06,FE001,非洲菊-混合色,400,台中市場,165,134,88,130.9,512
2024.09.18,N06,FE401,非洲菊-伊斯瑪拉,400,台中市場,181,178,154,173.9,61
2024.09.18,N06,FE409,非洲菊-粉紅魅力,400,台中市場,161,161,161,161,15
2024.09.18,N06,FE415,非洲菊-粉美麗,400,台中市場,172,172,172,172,30
2024.09.18,N06,FE416,非洲菊-熱情粉,400,台中市場,187,161,151,164.3,138
2024.09.18,N06,FE600,非洲菊-白,400,台中市場,160,152,137,150.8,50
2024.09.18,N06,FE900,非洲菊-迷你混色,400,台中市場,190,72,54,90.6,52
2024.09.18,N06,FH000,其它花卉,400,台中市場,135,70,70,83,20
2024.09.18,N06,FH006,黃梔花,400,台中市場,60,55,45,54.2,478
2024.09.18,N06,FH008,洋甘菊,400,台中市場,170,161,150,160,32
2024.09.18,N06,FH009,萬壽菊,400,台中市場,119,107,93,106,32
2024.09.18,N06,FH101,天堂鳥,400,台中市場,65,51,41,52.1,110
2024.09.18,N06,FH112,小天堂鳥-桔帶紅,400,台中市場,67,61,53,60.7,104
2024.09.18,N06,FH123,黃金鳥,400,台中市場,56,56,56,56,26
2024.09.18,N06,FH137,觀音蓮,400,台中市場,5,5,5,5,80
2024.09.18,N06,FH156,野薑花-白,400,台中市場,64,42,34,44.8,67
2024.09.18,N06,FH231,夜來香-單瓣,400,台中市場,130,130,130,130,24
2024.09.18,N06,FH293,向日葵-單瓣,400,台中市場,181,139,75,134.6,215
2024.09.18,N06,FH330,雞冠花,400,台中市場,140,133,130,133.7,76
2024.09.18,N06,FH331,雞冠花-清紅,400,台中市場,165,163,160,162.5,32
2024.09.18,N06,FH339,雞冠花-粉,400,台中市場,138,136,130,135.3,48
2024.09.18,N06,FH358,珊瑚鳳梨,400,台中市場,18,18,18,18,110
2024.09.18,N06,FH381,麒麟草,400,台中市場,124,101,90,103.1,165
2024.09.18,N06,FH395,虎尾花,400,台中市場,100,100,100,100,20
2024.09.18,N06,FH464,繡球花-粉,400,台中市場,32,32,32,32,20
2024.09.18,N06,FH640,睡蓮,400,台中市場,60,54,45,53.2,66
2024.09.18,N06,FH670,茉莉花,400,台中市場,24,19,16,19.3,180
2024.09.18,N06,FO003,腎藥蘭-曼谷火焰,400,台中市場,20,16,15,16.4,250
2024.09.18,N06,FO007,千代蘭,400,台中市場,8,8,8,8,140
2024.09.18,N06,FO008,嘉德麗蘭,400,台中市場,13,13,13,13,32
2024.09.18,N06,FO335,檸檬綠文心蘭,400,台中市場,166,88,60,98.1,416
2024.09.18,N06,FR000,玫瑰,400,台中市場,153,153,153,153,13
2024.09.18,N06,FR100,玫瑰-紅,400,台中市場,308,194,90,196,50
