transaction_date,category_code,crop_code,crop_name,market_code,market_name,highest_price,median_price,lowest_price,average_price,transaction_volume
2024.08.14,N05,11,椰子,104,台北二,39.5,21.6,17.4,24.4,1117
2024.08.14,N05,12,椰子-剝殼,104,台北二,32,32,32,32,60
2024.08.14,N05,31,釋迦,104,台北二,73,58.6,46.1,59,4476
2024.08.14,N05,469,藍莓-進口,104,台北二,233.3,233.3,136,213.9,520
2024.08.14,N05,50,百香果-其他,104,台北二,131.2,79.4,45.6,83,744
2024.08.14,N05,51,百香果-改良種,104,台北二,120,71.8,46.5,76.4,3221
2024.08.14,N05,70,小番茄-其他,104,台北二,85,85,85,85,48
2024.08.14,N05,72,小番茄-聖女,104,台北二,164.8,125.4,84.8,125.2,1440
2024.08.14,N05,74,小番茄-玉女,104,台北二,383.3,280.9,174.4,280.1,270
2024.08.14,N05,811,紅龍果-白肉,104,台北二,122.4,36.4,18.5,50,4643
2024.08.14,N05,812,紅龍果-紅肉,104,台北二,2024.4,52.2,20.4,58.1,12719
2024.08.14,N05,839,櫻桃-進口,104,台北二,223,208.9,158.4,201.6,1665
2024.08.14,N05,849,石榴-進口,104,台北二,170,170,170,170,60
2024.08.14,N05,859,榴槤-進口,104,台北二,164.1,121.6,120,129.8,1030
2024.08.14,N05,86,山竹,104,台北二,85,81.1,80,81.7,30
2024.08.14,N05,869,山竹-進口,104,台北二,280,265.8,260,267.5,40
2024.08.14,N05,87,紅毛丹,104,台北二,164.3,132.9,102,133,156
2024.08.14,N05,91,其他,104,台北二,80,57.5,26.7,55.9,198
2024.08.14,N05,919,其他-進口,104,台北二,236.2,136.2,126.7,154.3,70
2024.08.14,N05,A1,香蕉,104,台北二,65.6,52.4,38.8,52.3,3510
2024.08.14,N05,A2,香蕉-芭蕉紅芭蕉,104,台北二,74.2,39.9,24.9,43.8,1452
2024.08.14,N05,A3,香蕉-旦蕉,104,台北二,70,70,70,70,7
2024.08.14,N05,A4,香蕉-越旦,104,台北二,44.5,39.6,25.8,37.8,179
2024.08.14,N05,B2,鳳梨-金鑽鳳梨,104,台北二,59.9,39.8,23.6,40.6,4585
2024.08.14,N05,B7,鳳梨-牛奶鳳梨,104,台北二,41.6,35.8,25.3,34.8,2494
2024.08.14,N05,B8,鳳梨-西瓜鳳梨,104,台北二,36,36,36,36,28
2024.08.14,N05,C9,柑橘-進口,104,台北二,98.7,57.9,37,61.9,4603
2024.08.14,N05,E9,甜橙-進口,104,台北二,48.3,35.4,30,36.9,5434
2024.08.14,N05,F1,雜柑-檸檬,104,台北二,41.1,23.6,15.2,25.4,691
2024.08.14,N05,F4,雜柑-桔子,104,台北二,68.2,48.8,30.3,49,268
2024.08.14,N05,F5,雜柑-無子檸檬,104,台北二,38.5,25.6,15.9,26.2,2889
2024.08.14,N05,F6,雜柑-黃金檸檬,104,台北二,23.7,20.7,15.9,20.3,425
2024.08.14,N04,FA0,其他花類,104,台北二,110,110,110,110,10
2024.08.14,N04,FA1,黃秋葵,104,台北二,182.7,93.8,55.4,103.9,257
2024.08.14,N04,FC1,胡瓜-黑刺,104,台北二,56.9,46.4,25,44.2,2619
2024.08.14,N04,FD0,花胡瓜-其他,104,台北二,135.5,105.9,47.9,100.2,223
2024.08.14,N04,FD1,花胡瓜,104,台北二,87.1,67.6,32.9,64.5,10992
2024.08.14,N04,FE1,冬瓜-白皮,104,台北二,23.4,18.9,12.7,18.6,4452
2024.08.14,N04,FF0,絲瓜-其他,104,台北二,52.3,42,30.8,41.8,2610
