transaction_date,category_code,crop_code,crop_name,market_code,market_name,highest_price,median_price,lowest_price,average_price,transaction_volume
2024.08.01,N05,11,椰子,104,台北二,38.4,26.8,19.8,27.7,1807
2024.08.01,N05,31,釋迦,104,台北二,72,51.2,39.3,53,5540
2024.08.01,N05,469,藍莓-進口,104,台北二,299.7,266.7,184.8,256.9,111
2024.08.01,N05,50,百香果-其他,104,台北二,87,62.5,32.3,61.4,862
2024.08.01,N05,51,百香果-改良種,104,台北二,97.1,53,34.8,58.2,5946
2024.08.01,N05,72,小番茄-聖女,104,台北二,173.2,155.5,118,151.5,842
2024.08.01,N05,74,小番茄-玉女,104,台北二,490,302.2,120,303.3,72
2024.08.01,N05,811,紅龍果-白肉,104,台北二,58.5,25.3,11.5,29.2,5824
2024.08.01,N05,812,紅龍果-紅肉,104,台北二,67.1,39.5,15.5,40.2,11274
2024.08.01,N05,813,紅龍果-雙色紅龍果,104,台北二,133.4,63.4,28.4,70.4,308
2024.08.01,N05,839,櫻桃-進口,104,台北二,256,188.6,149.3,194.2,6236
2024.08.01,N05,87,紅毛丹,104,台北二,148.3,124.4,92.6,122.8,108
2024.08.01,N05,91,其他,104,台北二,28.3,19.8,13.1,20.2,1936
2024.08.01,N05,A1,香蕉,104,台北二,52.7,48.1,42.1,47.8,2835
2024.08.01,N05,A2,香蕉-芭蕉紅芭蕉,104,台北二,62.7,31,21.4,35.4,1672
2024.08.01,N05,A3,香蕉-旦蕉,104,台北二,40,39.9,35,39,43
2024.08.01,N05,A4,香蕉-越旦,104,台北二,32.6,22.4,14.6,22.9,734
2024.08.01,N05,B0,鳳梨-其他,104,台北二,32,26.3,25,27.2,191
2024.08.01,N05,B2,鳳梨-金鑽鳳梨,104,台北二,54.1,38.2,19.3,37.6,7768
2024.08.01,N05,B7,鳳梨-牛奶鳳梨,104,台北二,43.2,33.1,24.7,33.4,5228
2024.08.01,N05,B8,鳳梨-西瓜鳳梨,104,台北二,35,23.2,13.6,23.7,1806
2024.08.01,N05,C9,柑橘-進口,104,台北二,140,53.9,48.9,70.1,4430
2024.08.01,N05,E9,甜橙-進口,104,台北二,31.1,27.5,26.7,28,3730
2024.08.01,N05,F0,雜柑-其他,104,台北二,52,52,52,52,14
2024.08.01,N05,F1,雜柑-檸檬,104,台北二,30,24.9,15.8,24.1,771
2024.08.01,N05,F4,雜柑-桔子,104,台北二,61.2,46.9,18,44,394
2024.08.01,N05,F5,雜柑-無子檸檬,104,台北二,31.6,21.9,15.6,22.6,5490
2024.08.01,N05,F6,雜柑-黃金檸檬,104,台北二,28,20.2,16,21,165
2024.08.01,N04,FA1,黃秋葵,104,台北二,177.6,143.4,89.6,139.5,48
2024.08.01,N04,FB1,花椰菜-青梗,104,台北二,135,90,15,84,100
2024.08.01,N04,FC1,胡瓜-黑刺,104,台北二,67.6,45.4,23.1,45.4,2201
2024.08.01,N04,FD0,花胡瓜-其他,104,台北二,176.2,98.6,65,107.4,222
2024.08.01,N04,FD1,花胡瓜,104,台北二,139.8,107.2,48.7,102,5320
2024.08.01,N04,FE0,冬瓜-其他,104,台北二,15,15,15,15,19
2024.08.01,N04,FE1,冬瓜-白皮,104,台北二,20.8,15.7,10.4,15.7,2805
2024.08.01,N04,FF0,絲瓜-其他,104,台北二,50.8,38.6,19.7,37.3,619
2024.08.01,N04,FF1,絲瓜,104,台北二,60,33,19.4,35.7,6096
2024.08.01,N04,FF2,絲瓜-角瓜,104,台北二,33.9,21.4,16,22.8,139
2024.08.01,N04,FF4,絲瓜-長絲瓜,104,台北二,37.8,35.4,34,35.6,110
2024.08.01,N04,FG0,苦瓜-其他,104,台北二,96.1,66.5,32.1,65.5,548
2024.08.01,N04,FG1,苦瓜-白大米,104,台北二,120.7,80.3,32.7,78.9,1725
2024.08.01,N04,FG3,苦瓜-山苦瓜,104,台北二,60,49,45,50.4,49
2024.08.01,N04,FG4,苦瓜-翠綠,104,台北二,68.9,38,22.7,41.1,220
2024.08.01,N04,FH3,扁蒲-花蒲,104,台北二,38.7,26.9,12.7,26.4,1608
2024.08.01,N04,FH4,扁蒲-梨子蒲,104,台北二,42.6,25.7,13.3,26.6,1800
2024.08.01,N04,FI0,茄子-其他,104,台北二,75,57.7,20,53.6,66
2024.08.01,N04,FI2,茄子-麻荸茄,104,台北二,51.4,33.6,17.8,34,6073
2024.08.01,N04,FI3,茄子-日本種,104,台北二,25,13.9,10,15.3,79
2024.08.01,N04,FJ1,番茄-黑柿,104,台北二,65,51.9,30,50.1,41
