transaction_date,category_code,crop_code,crop_name,market_code,market_name,highest_price,median_price,lowest_price,average_price,transaction_volume
2024.08.22,N05,11,椰子,104,台北二,35.1,22.4,18.9,24.2,1305
2024.08.22,N05,119,椰子-進口,104,台北二,90,90,90,90,100
2024.08.22,N05,12,椰子-剝殼,104,台北二,15,15,15,15,90
2024.08.22,N05,129,椰子-剝殼進口,104,台北二,26.7,26.7,26.7,26.7,400
2024.08.22,N05,31,釋迦,104,台北二,76.8,59.6,48.3,60.8,3717
2024.08.22,N05,459,草莓-進口,104,台北二,222.2,222.2,222.2,222.2,96
2024.08.22,N05,469,藍莓-進口,104,台北二,280.7,188.7,50,179.4,246
2024.08.22,N05,50,百香果-其他,104,台北二,129.4,104.2,68.8,102.2,782
2024.08.22,N05,51,百香果-改良種,104,台北二,100.5,66.9,49.2,70.1,5639
2024.08.22,N05,72,小番茄-聖女,104,台北二,155,116.1,76.2,115.9,1438
2024.08.22,N05,74,小番茄-玉女,104,台北二,393.6,274.4,235.7,290.5,252
2024.08.22,N05,811,紅龍果-白肉,104,台北二,135.8,67.7,41.3,76,2030
2024.08.22,N05,812,紅龍果-紅肉,104,台北二,120.6,59,33,66.1,8031
2024.08.22,N05,813,紅龍果-雙色紅龍果,104,台北二,135.9,57.9,38.6,69.7,386
2024.08.22,N05,839,櫻桃-進口,104,台北二,226.7,176.1,148.2,180.6,1407
2024.08.22,N05,859,榴槤-進口,104,台北二,120,120,120,120,1000
2024.08.22,N05,87,紅毛丹,104,台北二,160,160,160,160,10
2024.08.22,N05,91,其他,104,台北二,38.6,27.5,25,29.2,366
2024.08.22,N05,A0,香蕉-其他,104,台北二,17,17,17,17,19
2024.08.22,N05,A1,香蕉,104,台北二,75,55.9,40,56.6,3705
2024.08.22,N05,A2,香蕉-芭蕉紅芭蕉,104,台北二,62.1,42.6,31.4,44.2,1800
2024.08.22,N05,A4,香蕉-越旦,104,台北二,44.4,35.6,28,35.8,304
2024.08.22,N05,B2,鳳梨-金鑽鳳梨,104,台北二,58.5,45.1,22.1,43.2,2623
2024.08.22,N05,B7,鳳梨-牛奶鳳梨,104,台北二,45.4,36.9,20.8,35.4,2454
2024.08.22,N05,B8,鳳梨-西瓜鳳梨,104,台北二,17,17,17,17,126
2024.08.22,N05,C9,柑橘-進口,104,台北二,662,300.8,71,327.1,311
2024.08.22,N05,E9,甜橙-進口,104,台北二,33.3,33.3,33.3,33.3,100
2024.08.22,N05,F1,雜柑-檸檬,104,台北二,30,27.8,15.4,25.8,717
2024.08.22,N05,F4,雜柑-桔子,104,台北二,85,67.7,56.9,69,199
2024.08.22,N05,F5,雜柑-無子檸檬,104,台北二,38.4,27.2,14.1,26.8,3105
2024.08.22,N05,F6,雜柑-黃金檸檬,104,台北二,23.8,21.8,18.4,21.5,388
2024.08.22,N04,FA1,黃秋葵,104,台北二,89.5,62.8,33.1,62.2,1804
2024.08.22,N04,FB1,花椰菜-青梗,104,台北二,119.4,54.8,12.3,59.2,361
2024.08.22,N04,FC1,胡瓜-黑刺,104,台北二,46.4,30.7,17.2,31.1,5058
2024.08.22,N04,FD0,花胡瓜-其他,104,台北二,118.9,83.9,58.3,85.8,459
2024.08.22,N04,FD1,花胡瓜,104,台北二,79.3,59.4,31.7,57.8,11753
2024.08.22,N04,FE1,冬瓜-白皮,104,台北二,24.1,20.1,10.6,19,2822
2024.08.22,N04,FF0,絲瓜-其他,104,台北二,31.1,25.5,19.1,25.4,2475
2024.08.22,N04,FF1,絲瓜,104,台北二,36,23.7,13,24,16334
2024.08.22,N04,FF2,絲瓜-角瓜,104,台北二,55.1,38.9,15,37.4,121
2024.08.22,N04,FF4,絲瓜-長絲瓜,104,台北二,28,25,23,25.2,48
2024.08.22,N04,FG0,苦瓜-其他,104,台北二,89.2,70.9,46,69.6,1111
2024.08.22,N04,FG1,苦瓜-白大米,104,台北二,138.1,103.9,63.4,102.6,1099
2024.08.22,N04,FG3,苦瓜-山苦瓜,104,台北二,72,67,62,67,22
2024.08.22,N04,FG4,苦瓜-翠綠,104,台北二,103.4,69.1,54.1,73,145
2024.08.22,N04,FH3,扁蒲-花蒲,104,台北二,38,26.7,12.3,26.1,2074
2024.08.22,N04,FH4,扁蒲-梨子蒲,104,台北二,41.8,28,17.3,28.6,1300
2024.08.22,N04,FI0,茄子-其他,104,台北二,100,100,100,100,29
2024.08.22,N04,FI2,茄子-麻荸茄,104,台北二,157,114.4,87.7,117.6,1464
2024.08.22,N04,FJ3,番茄-牛番茄,104,台北二,96.8,59,31.3,61,13354
2024.08.22,N04,FK4,甜椒-彩色種,104,台北二,67.8,50,29.8,49.5,3130
2024.08.22,N04,FK5,甜椒-青椒,104,台北二,82,57.4,31.4,57.1,3105
2024.08.22,N04,FK6,甜椒-水果彩椒,104,台北二,140.6,70.2,41,78.5,655
2024.08.22,N04,FK9,甜椒-進口,104,台北二,46.1,39.4,30.6,39,1150
2024.08.22,N04,FL9,豌豆-進口,104,台北二,177.1,2024.3,73.8,118.1,632
2024.08.22,N04,FM2,菜豆-青色,104,台北二,85.7,55.2,34.9,57.2,1380
2024.08.22,N04,FN1,敏豆-白豆,104,台北二,257.7,160.3,39.2,155.6,588
2024.08.22,N04,FN4,敏豆-翼豆,104,台北二,165,165,165,165,7
2024.08.22,N04,FN5,敏豆-醜豆,104,台北二,170,168.1,140,162.9,63
2024.08.22,N04,FQ2,毛豆-豆仁,104,台北二,210,210,210,210,6
2024.08.22,N04,FR2,青花苔-青花筍,104,台北二,15,15,15,15,40
2024.08.22,N04,FR9,青花苔-進口,104,台北二,97.8,75.8,55.3,76.1,9146
2024.08.22,N04,FS1,越瓜-青色,104,台北二,16.4,5,5,7.3,297
2024.08.22,N04,FT0,南瓜-其他,104,台北二,57,57,57,57,50
2024.08.22,N04,FT1,南瓜-木瓜形,104,台北二,60,42.7,29,43.4,2355
2024.08.22,N04,FT2,南瓜-圓形,104,台北二,57,51.5,30,48.3,59
2024.08.22,N04,FT5,南瓜-青如意,104,台北二,119.5,79.7,39.1,79.5,1217
2024.08.22,N04,FT9,南瓜-進口,104,台北二,42.3,34.2,28.9,34.8,1559
2024.08.22,N04,FU1,隼人瓜,104,台北二,36.1,31.3,22.8,30.6,1388
2024.08.22,N04,FU2,隼人瓜-瓜苗,104,台北二,130,105.9,84.5,106.4,869
2024.08.22,N04,FV0,辣椒-其他,104,台北二,50,50,50,50,9
2024.08.22,N04,FV1,辣椒-紅小,104,台北二,154.8,105,37.3,101.4,490
2024.08.22,N04,FV2,辣椒-青小,104,台北二,120,92.1,29.6,85.2,52
2024.08.22,N04,FV4,辣椒-朝天椒,104,台北二,185.3,154.8,111,152.1,525
2024.08.22,N04,FV6,辣椒-糯米椒,104,台北二,165.7,100.5,44.2,102.2,222
2024.08.22,N04,FV9,辣椒-進口,104,台北二,125,107.2,50,99.3,102
2024.08.22,N04,FY4,玉米-玉米筍,104,台北二,46.6,21.4,15.2,25.2,1137
2024.08.22,N04,FY5,玉米-糯米黑,104,台北二,47.5,32.4,19.9,32.9,231
2024.08.22,N04,FY6,玉米-甜軟殼,104,台北二,33.9,21.9,6.7,21.3,3502
2024.08.22,N04,FY7,玉米-糯米白,104,台北二,15,13.6,12,13.6,25
2024.08.22,N04,FY8,玉米-白龍王,104,台北二,160,88.4,28.3,90.7,230
2024.08.22,N04,FY9,玉米-進口,104,台北二,137,58.7,15.2,65.6,2834
2024.08.22,N04,FZ1,落花生-生,104,台北二,140,136.2,130,135.7,28
2024.08.22,N04,FZ2,落花生-熟,104,台北二,100,100,100,100,48
2024.08.22,N05,G2,黃金果,104,台北二,118,62.4,41.1,69.3,700
2024.08.22,N05,G3,酪梨,104,台北二,87.4,61.8,45.2,63.6,8109
2024.08.22,N05,G49,奇異果-進口,104,台北二,119.5,84.6,57.9,86.2,2194
2024.08.22,N05,G7,橄欖,104,台北二,40,40,35,39,63
2024.08.22,N05,H1,柚子-文旦,104,台北二,32.2,15.3,14.7,18.6,26807
2024.08.22,N05,H5,葡萄柚-白肉,104,台北二,32,31.4,28.9,31,326
2024.08.22,N05,I1,木瓜-網室紅肉,104,台北二,68.8,50.1,34.5,50.7,9099
2024.08.22,N05,I3,木瓜-日昇種,104,台北二,146.6,76.9,32.4,82,438
2024.08.22,N05,I4,木瓜-青木瓜,104,台北二,23.1,16.4,7.9,16,1131
2024.08.22,N05,K3,龍眼-粉殼,104,台北二,100.2,62.5,37.6,65.1,10509
2024.08.22,N05,K4,龍眼-龍眼乾帶殼,104,台北二,150,150,150,150,60
2024.08.22,N04,LA1,甘藍-初秋,104,台北二,72,49.7,38.6,51.9,8745
2024.08.22,N04,LA2,甘藍-改良種,104,台北二,36.7,27.4,20.3,27.8,54030
2024.08.22,N04,LA4,甘藍-紫色,104,台北二,40,40,40,40,140
2024.08.22,N04,LA9,甘藍-進口,104,台北二,25.3,16.3,11.5,17.2,18080
2024.08.22,N04,LB1,小白菜-土白菜,104,台北二,48.1,28.4,17.5,30.1,1994
2024.08.22,N04,LB2,小白菜-蚵仔白,104,台北二,44.7,30.3,17.5,30.6,8958
2024.08.22,N04,LB3,小白菜-奶油白,104,台北二,63.9,44.6,17.5,43,840
2024.08.22,N04,LB8,小白菜-水耕,104,台北二,60,49.2,35,48.5,150
2024.08.22,N04,LC0,包心白-其他,104,台北二,115,110.1,87.1,106.5,743
