transaction_date,category_code,crop_code,crop_name,market_code,market_name,highest_price,median_price,lowest_price,average_price,transaction_volume
2024.08.08,N05,11,椰子,104,台北二,36.2,24.7,18,25.7,478
2024.08.08,N05,119,椰子-進口,104,台北二,110,110,110,110,30
2024.08.08,N05,12,椰子-剝殼,104,台北二,30,30,30,30,60
2024.08.08,N05,129,椰子-剝殼進口,104,台北二,40,39,26.7,36.8,1400
2024.08.08,N05,31,釋迦,104,台北二,69,51.6,39.9,52.7,3437
2024.08.08,N05,459,草莓-進口,104,台北二,222.2,222.2,222.2,222.2,135
2024.08.08,N05,469,藍莓-進口,104,台北二,279.6,154.6,75.1,163.7,201
2024.08.08,N05,50,百香果-其他,104,台北二,130,82.3,60,87.4,397
2024.08.08,N05,51,百香果-改良種,104,台北二,111.7,64.6,34.9,68.1,3897
2024.08.08,N05,72,小番茄-聖女,104,台北二,162,121.3,104.8,126.2,924
2024.08.08,N05,74,小番茄-玉女,104,台北二,399.6,277.8,222.4,291.1,198
2024.08.08,N05,811,紅龍果-白肉,104,台北二,75.9,48.1,33.5,50.8,4640
2024.08.08,N05,812,紅龍果-紅肉,104,台北二,118.2,82.3,54.9,84,4372
2024.08.08,N05,813,紅龍果-雙色紅龍果,104,台北二,166.7,111.4,65.7,2024.4,435
2024.08.08,N05,839,櫻桃-進口,104,台北二,256.7,183.9,174.3,196.5,1269
2024.08.08,N05,87,紅毛丹,104,台北二,130,120,93.3,116.7,63
2024.08.08,N05,91,其他,104,台北二,80.5,40.7,18,44.1,367
2024.08.08,N05,919,其他-進口,104,台北二,253.4,253.4,253.4,253.4,5
2024.08.08,N05,A0,香蕉-其他,104,台北二,14,13.5,11,13.1,48
2024.08.08,N05,A1,香蕉,104,台北二,44.7,33.4,22.2,33.4,6312
2024.08.08,N05,A2,香蕉-芭蕉紅芭蕉,104,台北二,71.7,39.2,22.4,42.4,1343
2024.08.08,N05,A3,香蕉-旦蕉,104,台北二,85,85,85,85,15
2024.08.08,N05,A4,香蕉-越旦,104,台北二,30,23.3,19.9,24,221
2024.08.08,N05,B2,鳳梨-金鑽鳳梨,104,台北二,56.6,35.7,21.1,37,1619
2024.08.08,N05,B7,鳳梨-牛奶鳳梨,104,台北二,37.2,31.8,26.3,31.8,2599
2024.08.08,N05,B8,鳳梨-西瓜鳳梨,104,台北二,48,28,24,31.2,151
2024.08.08,N05,C9,柑橘-進口,104,台北二,110.3,59.3,59.3,69.5,1098
2024.08.08,N05,E9,甜橙-進口,104,台北二,51.2,29.6,26.7,33.3,1480
2024.08.08,N05,F1,雜柑-檸檬,104,台北二,32.2,22.6,17,23.4,700
2024.08.08,N05,F4,雜柑-桔子,104,台北二,62.5,33.6,8.4,34.4,268
2024.08.08,N05,F5,雜柑-無子檸檬,104,台北二,37.7,24.6,16,25.5,2358
2024.08.08,N05,F6,雜柑-黃金檸檬,104,台北二,25.5,20,15,20.1,532
